id,lat,lon,E,N,T_2020,T_2025,T_2030,T_2035,T_2040,T_2045,T_2050,T_2055,T_2060,T_2065,T_2070,T_2075,T_2080,T_2085,T_2090,T_2095,T_2100,P_2020,P_2025,P_2030,P_2035,P_2040,P_2045,P_2050,P_2055,P_2060,P_2065,P_2070,P_2075,P_2080,P_2085,P_2090,P_2095,P_2100
35.1_24.6,35.1,24.6,5657426.647928892,1465539.1878025436,290.7138671875,290.7282409667969,290.8936767578125,290.7709655761719,291.26556396484375,290.96954345703125,291.314453125,291.5189514160156,291.4098205566406,291.4537658691406,291.0914001464844,291.2721862792969,291.4576110839844,291.3590393066406,291.33905029296875,291.71881103515625,291.6850891113281,1.543863254482858e-05,1.6634809071547352e-05,1.962288843060378e-05,1.7712603948893957e-05,1.2269837498024572e-05,1.712666744424496e-05,1.840043842094019e-05,1.5984391211532056e-05,1.5366262232419103e-05,1.7086202205973677e-05,1.7050579117494635e-05,1.5805819202796556e-05,1.5970792446751148e-05,1.6597245121374726e-05,1.3625040082843043e-05,1.5328256267821416e-05,1.5252476259774994e-05
35_24.9,35.0,24.9,5686355.506442797,1459945.1647433303,291.1568603515625,291.2874450683594,291.384521484375,291.23077392578125,291.85650634765625,291.41534423828125,291.9131164550781,292.0928649902344,291.889892578125,291.9290466308594,291.6152648925781,291.86505126953125,292.03619384765625,291.94384765625,291.90618896484375,292.329833984375,292.2645568847656,8.891992365533952e-06,1.0057276995212305e-05,1.220693411596585e-05,1.0825834579009097e-05,7.15039504939341e-06,1.0599769666441716e-05,1.1514198376971763e-05,1.0393102456873748e-05,1.0590680176392198e-05,1.2723469808406662e-05,1.1131718565593474e-05,9.436787877348252e-06,9.708255674922839e-06,1.0778750947793014e-05,8.669643648318015e-06,9.600542398402467e-06,9.10850940272212e-06
35_25,35.0,25.0,5695390.183788648,1461721.5538161313,291.1479187011719,291.2088623046875,291.3503112792969,291.2229309082031,291.84747314453125,291.38812255859375,291.85150146484375,292.0528564453125,291.8903503417969,291.9158935546875,291.5623779296875,291.8191833496094,292.0199890136719,291.9122619628906,291.8651428222656,292.302978515625,292.2303161621094,7.750175427645445e-06,8.76000922289677e-06,1.045687804435147e-05,9.43996747082565e-06,6.386545464920346e-06,9.047930689121131e-06,9.953124390449375e-06,9.419168236490805e-06,9.00899431144353e-06,1.1367170372977853e-05,9.783613677427638e-06,8.393160896957852e-06,8.242214789788704e-06,9.306989340984728e-06,7.560282938356977e-06,8.281424925371539e-06,7.733029633527622e-06
35_25.1,35.0,25.1,5704422.27322271,1463509.7563557196,291.16864013671875,291.18115234375,291.3609924316406,291.25811767578125,291.8525390625,291.4057312011719,291.8471984863281,292.040771484375,291.9158935546875,291.9354553222656,291.56353759765625,291.79693603515625,292.0148620605469,291.90582275390625,291.8490905761719,292.2831115722656,292.2351989746094,6.625433343288023e-06,7.773011930112261e-06,8.863459697749931e-06,8.273849744000472e-06,5.712816346203908e-06,7.820997780072503e-06,8.509923645760864e-06,8.316022103826981e-06,7.712203114351723e-06,9.895747098198626e-06,8.431176865997259e-06,7.290051144082099e-06,7.086144705681363e-06,7.925199497549329e-06,6.627823040616931e-06,7.312134130188497e-06,6.50002630209201e-06
35_25.2,35.0,25.2,5713451.757370644,1465309.7709720077,291.0940856933594,291.09735107421875,291.2824401855469,291.1986999511719,291.7695617675781,291.32989501953125,291.76837158203125,291.9555358886719,291.8331298828125,291.858154296875,291.4790344238281,291.69854736328125,291.9246826171875,291.81884765625,291.75384521484375,292.1864318847656,292.14678955078125,6.831783139205072e-06,8.2202568592038e-06,9.027162377606146e-06,8.498362149111927e-06,5.815095846628537e-06,7.931777872727253e-06,8.443726073892321e-06,8.355832505912986e-06,7.828528396203183e-06,1.005320154945366e-05,8.634920050099026e-06,7.456481853296282e-06,7.357840786426095e-06,8.045848517213017e-06,6.793380180170061e-06,7.473543973901542e-06,6.62099955661688e-06
35_25.4,35.0,25.4,5731502.840298655,1468945.2308255653,290.4174499511719,290.52081298828125,290.6485290527344,290.5401306152344,291.11248779296875,290.6846008300781,291.15484619140625,291.3432312011719,291.1492919921875,291.198486328125,290.8724365234375,291.07928466796875,291.3033752441406,291.201171875,291.1278076171875,291.5610656738281,291.4741516113281,1.4372135410667397e-05,1.536803574708756e-05,1.728113966237288e-05,1.6423320630565286e-05,1.16001947390032e-05,1.4679688320029527e-05,1.542568497825414e-05,1.5240887478285003e-05,1.4942588677513413e-05,1.7697486327961087e-05,1.6509769920958206e-05,1.42332701216219e-05,1.3594942174677271e-05,1.4773716429772321e-05,1.3140136616129894e-05,1.4743872270628344e-05,1.3342323654796928e-05
35_25.5,35.0,25.5,5740524.404317886,1470780.6732338588,290.0438537597656,290.2438049316406,290.3135681152344,290.17095947265625,290.7835693359375,290.35650634765625,290.83221435546875,291.013671875,290.8110046386719,290.82562255859375,290.558837890625,290.7694396972656,290.9757080078125,290.8873291015625,290.8147888183594,291.23712158203125,291.1311950683594,2.325147761439439e-05,2.245575342385564e-05,2.51787878369214e-05,2.5001198082463816e-05,1.817733937059529e-05,2.2335569155984558e-05,2.3351687559625134e-05,2.3516520741395652e-05,2.176710586354602e-05,2.5675573851913214e-05,2.548979318817146e-05,2.1422332793008536e-05,1.9731440261239186e-05,2.116168434440624e-05,2.047435009444598e-05,2.295488775416743e-05,2.0603682060027495e-05
35_25.6,35.0,25.6,5749543.293529262,1472627.9220608796,290.5357971191406,290.73370361328125,290.80859375,290.65411376953125,291.26434326171875,290.8468933105469,291.31494140625,291.4827880859375,291.32366943359375,291.2998352050781,291.04449462890625,291.2372741699219,291.4287414550781,291.3655090332031,291.29083251953125,291.716796875,291.61944580078125,1.7124730220530182e-05,1.6719408449716866e-05,1.7942602426046506e-05,1.82612693606643e-05,1.3147745448804926e-05,1.672492544457782e-05,1.720861837384291e-05,1.764713852026034e-05,1.56739515659865e-05,1.8444849047227763e-05,1.9177354261046275e-05,1.622806303203106e-05,1.4676333194074687e-05,1.5502693713642657e-05,1.5505525880143978e-05,1.7333961295662448e-05,1.4796676623518579e-05
35_25.8,35.0,25.8,5767572.977979527,1476357.83320548,291.4701843261719,291.46441650390625,291.70404052734375,291.5581359863281,292.0574951171875,291.7741394042969,292.115966796875,292.2584228515625,292.1922302246094,292.1858825683594,291.88720703125,291.9969177246094,292.1991271972656,292.1622619628906,292.060546875,292.509765625,292.48681640625,7.836301847419236e-06,8.419424375460949e-06,8.548699042876251e-06,8.730145054869354e-06,5.801320639875485e-06,8.292946404253598e-06,8.16378178569721e-06,8.883334885467775e-06,7.575138170068385e-06,8.616879313194659e-06,9.398172551300377e-06,8.161604455381166e-06,7.282074875547551e-06,6.827144261478679e-06,7.983866453287192e-06,8.986733519122936e-06,6.292958914855262e-06
35.2_23.7,35.2,23.7,5574344.71329422,1461286.0908172824,291.1412353515625,291.33489990234375,291.4141540527344,291.287841796875,291.8019714355469,291.5223083496094,291.92462158203125,292.0823059082031,291.9723815917969,291.9848327636719,291.6492919921875,291.860107421875,292.0129699707031,291.95263671875,291.93499755859375,292.32611083984375,292.2736511230469,1.4130307135928888e-05,1.5481384252780117e-05,1.734123725327663e-05,1.5918361896183342e-05,1.1621292287600227e-05,1.4958475730963983e-05,1.6721081919968128e-05,1.4077395462663844e-05,1.465964760427596e-05,1.4368235497386195e-05,1.681590401858557e-05,1.4950463082641363e-05,1.517675718787359e-05,1.5546891518170014e-05,1.4213321264833212e-05,1.3007594134251121e-05,1.5232752048177645e-05
